,Party_Id,Mean_Business,Median_Business,Total_Business,Mean_Days,Median_Days,Mean_Ship_Delay,Median_Ship_Delay,Mean_Initial_Delay,Median_Initial_Delay,Total_Transactions
156,1221699,74.88,74.88,74.88,5.0,5.0,3.0,3.0,2.0,2.0,1
157,1223699,60.2115384615,36.66,782.75,5.0,6.0,3.30769230769,3.0,1.69230769231,1.0,13
158,1240789,53.6991666667,48.125,1288.78,7.7619047619,,3.57142857143,,3.79166666667,2.0,24
159,1244699,160.035,160.035,320.07,7.5,7.5,4.5,4.5,3.0,3.0,2
160,1245699,218.818,155.23,1094.09,5.4,5.0,4.4,5.0,1.0,1.0,5
161,1253789,85.2066666667,52.83,255.62,5.66666666667,6.0,3.66666666667,4.0,2.0,2.0,3
162,1261699,52.5904761905,55.6,1104.4,6.1,,3.35,,2.7619047619,2.0,21
163,1264789,98.2566666667,89.64,294.77,8.0,9.0,4.33333333333,5.0,3.66666666667,4.0,3
164,1265699,69.4366666667,43.96,208.31,18.6666666667,8.0,3.66666666667,3.0,15.0,3.0,3
165,1268789,58.95,58.95,58.95,7.0,7.0,5.0,5.0,2.0,2.0,1
166,1273699,89.175,69.48,713.4,7.875,3.0,2.25,2.0,5.625,1.0,8
167,1285789,18.4,18.4,147.2,7.0,7.0,1.5,1.5,5.5,5.5,8
168,1287789,59.89875,44.165,958.38,4.78571428571,,3.64285714286,,1.3125,1.0,16
169,1307699,56.8129166667,48.5,1363.51,6.30434782609,,3.26086956522,,3.0,2.0,24
170,1319789,69.1124590164,43.41,4215.86,7.18181818182,,3.56363636364,,3.70491803279,2.0,61
171,1340789,63.0273333333,63.12,945.41,7.4,5.0,2.86666666667,2.0,4.53333333333,2.0,15
172,1347789,44.1555172414,40.5,2561.02,5.05454545455,,3.14545454545,,1.89285714286,,58
173,1348699,35.39,24.62,176.95,9.0,8.0,6.6,6.0,2.4,2.0,5
174,1368699,75.67,75.67,151.34,7.0,7.0,4.5,4.5,2.5,2.5,2
175,1371789,51.075,51.075,102.15,8.0,8.0,3.5,3.5,4.5,4.5,2
176,1377699,72.85,72.85,145.7,2.0,2.0,1.0,1.0,1.0,1.0,2
177,1435699,53.05,53.05,53.05,3.0,3.0,3.0,3.0,0.0,0.0,1
178,1445789,71.43,71.43,142.86,4.5,4.5,2.0,2.0,2.5,2.5,2
179,1462699,457.0,457.0,457.0,44.0,44.0,1.0,1.0,43.0,43.0,1
180,1472699,41.945,41.945,83.89,7.0,7.0,6.0,6.0,1.0,1.0,2
181,1473699,30.1016666667,28.205,180.61,5.5,5.0,3.0,3.0,2.5,2.0,6
182,1478789,72.8191666667,72.03,873.83,5.25,5.0,3.16666666667,2.5,2.08333333333,2.0,12
183,1479789,53.6558333333,41.34,1931.61,6.5,5.0,3.19444444444,3.0,3.30555555556,2.0,36
184,1488699,47.25,33.48,519.75,4.09090909091,4.0,2.36363636364,2.0,1.72727272727,2.0,11
185,1516789,74.805,74.805,149.61,5.0,5.0,2.0,2.0,3.0,3.0,2
186,1546789,67.66,59.94,338.3,20.8,10.0,7.6,8.0,13.2,3.0,5
187,1548699,75.56,75.56,75.56,5.0,5.0,2.0,2.0,3.0,3.0,1
188,1549699,129.713636364,85.46,1426.85,9.90909090909,7.0,3.0,3.0,6.90909090909,3.0,11
189,1555789,109.18,116.68,327.54,6.0,4.0,4.0,2.0,2.0,2.0,3
190,1557699,50.715,50.715,101.43,4.5,4.5,2.5,2.5,2.0,2.0,2
191,1562789,49.38,49.38,49.38,3.0,3.0,2.0,2.0,1.0,1.0,1
192,1563789,60.2966666667,63.32,361.78,11.3333333333,10.0,7.33333333333,8.0,4.0,2.0,6
193,1571699,128.36,128.36,128.36,9.0,9.0,6.0,6.0,3.0,3.0,1
194,1596789,184.7725,36.015,739.09,20.0,,10.0,,8.0,2.5,4
195,1599789,132.045,132.045,264.09,6.5,6.5,4.5,4.5,2.0,2.0,2
196,1603789,329.92,329.92,329.92,10.0,10.0,7.0,7.0,3.0,3.0,1
197,1604789,68.4925,68.94,273.97,6.75,6.5,4.25,4.0,2.5,2.0,4
198,1605699,100.68,100.68,100.68,6.0,6.0,3.0,3.0,3.0,3.0,1
199,1606789,33.1545454545,27.01,364.7,5.27272727273,5.0,3.27272727273,3.0,2.0,2.0,11
200,1618699,89.5,89.5,179.0,7.5,7.5,5.0,5.0,2.5,2.5,2
201,1631699,160.08,160.08,320.16,8.0,8.0,7.0,7.0,1.0,1.0,2
202,1640699,123.9,123.9,247.8,6.0,6.0,4.5,4.5,1.5,1.5,2
203,1643789,119.995,119.995,239.99,6.5,6.5,4.5,4.5,2.0,2.0,2
204,1661699,40.945,40.945,81.89,2.0,,1.0,,1.5,1.5,2
205,1661789,53.46,53.46,53.46,3.0,3.0,2.0,2.0,1.0,1.0,1
206,1664789,46.49,38.6,139.47,8.66666666667,6.0,2.33333333333,1.0,6.33333333333,5.0,3
207,1668789,52.2843478261,46.4,1202.54,6.86956521739,7.0,4.0,4.0,2.86956521739,2.0,23
208,1673789,57.166,42.36,285.83,5.2,4.0,3.0,3.0,2.2,2.0,5
209,1682699,152.635,152.635,305.27,5.0,5.0,2.0,2.0,3.0,3.0,2
210,1701699,79.1553333333,78.06,1187.33,5.71428571429,,3.85714285714,,1.8,2.0,15
211,1703699,104.22,104.22,208.44,3.5,3.5,1.0,1.0,2.5,2.5,2
212,1714789,38.88,38.88,38.88,6.0,6.0,4.0,4.0,2.0,2.0,1
213,1719699,44.49,44.49,88.98,2.0,2.0,1.0,1.0,1.0,1.0,2
214,1736789,60.24,50.58,240.96,4.75,5.0,3.5,3.5,1.25,1.0,4
215,1744789,54.98,54.98,54.98,5.0,5.0,4.0,4.0,1.0,1.0,1
216,1748789,77.78,77.78,155.56,11.0,11.0,8.0,8.0,3.0,3.0,2
217,1749699,42.175,37.33,253.05,4.5,4.0,2.66666666667,2.0,1.83333333333,2.0,6
218,1755789,44.0458333333,31.845,528.55,5.09090909091,,2.63636363636,,2.41666666667,2.5,12
219,1769699,105.45,105.45,210.9,4.0,4.0,2.0,2.0,2.0,2.0,2
220,1773699,42.2033333333,35.5,126.61,11.0,11.0,8.0,9.0,3.0,3.0,3
221,1776699,107.36,107.36,107.36,16.0,16.0,4.0,4.0,12.0,12.0,1
222,1779789,102.4,67.65,307.2,4.66666666667,5.0,3.33333333333,4.0,1.33333333333,1.0,3
223,1818699,30.7,30.7,30.7,8.0,8.0,7.0,7.0,1.0,1.0,1
224,1820699,57.0447826087,48.15,1312.03,9.13636363636,,4.09090909091,,4.95652173913,2.0,23
225,1826699,435.42,435.42,435.42,4.0,4.0,2.0,2.0,2.0,2.0,1
226,1838699,136.87,136.87,273.74,5.0,5.0,3.0,3.0,2.0,2.0,2
227,1839789,39.4304878049,27.35,1616.65,6.68292682927,6.0,4.0,4.0,2.68292682927,2.0,41
228,1848699,37.347826087,32.44,859.0,7.21739130435,7.0,3.82608695652,4.0,3.39130434783,2.0,23
229,1854789,56.7325,50.6,226.93,5.0,5.0,3.25,3.0,1.75,1.5,4
230,1855699,64.69,64.69,129.38,3.0,3.0,1.0,1.0,2.0,2.0,2
231,1863789,61.05,61.05,61.05,6.0,6.0,4.0,4.0,2.0,2.0,1
232,1888789,57.18,57.18,57.18,11.0,11.0,7.0,7.0,4.0,4.0,1
233,1889699,62.6565,50.23,1253.13,3.8,4.0,2.1,2.0,1.7,2.0,20
234,1909699,70.4511111111,58.65,634.06,8.77777777778,5.0,2.22222222222,2.0,6.55555555556,3.0,9
235,1914699,56.20625,54.35,449.65,4.25,3.0,2.5,1.5,1.75,2.0,8
236,1922789,38.94,38.94,38.94,6.0,6.0,5.0,5.0,1.0,1.0,1
237,1923789,32.31,32.31,64.62,2.0,2.0,1.0,1.0,1.0,1.0,2
238,1926699,81.3,81.3,162.6,5.5,5.5,3.5,3.5,2.0,2.0,2
239,1931789,62.9425,58.0,503.54,5.875,3.0,2.625,2.0,3.25,1.0,8
240,1936699,85.98875,55.31,1375.82,6.93333333333,,2.66666666667,,6.0,2.0,16
241,1937699,245.61,48.64,736.83,6.0,6.0,3.33333333333,3.0,2.66666666667,3.0,3
242,1961789,68.325,66.22,273.3,4.25,4.0,2.75,2.5,1.5,1.5,4
243,1989699,58.81,58.81,58.81,24.0,24.0,1.0,1.0,23.0,23.0,1
244,1999699,115.2,115.2,230.4,12.5,12.5,9.0,9.0,3.5,3.5,2
245,2008789,33.232,24.18,166.16,16.6,6.0,4.2,4.0,12.4,3.0,5
246,2010789,66.44,66.44,132.88,4.0,4.0,1.5,1.5,2.5,2.5,2
247,2011789,61.154,63.54,305.77,4.8,5.0,2.0,2.0,2.8,3.0,5
248,2034699,41.801,37.22,836.02,6.25,5.0,2.4,2.0,3.85,3.0,20
249,2035789,81.78,62.53,327.12,5.0,5.0,3.75,3.5,1.25,1.0,4
250,2045699,36.8771428571,35.35,258.14,6.0,6.0,4.0,4.0,2.0,2.0,7
251,2046789,67.072,66.24,335.36,5.0,6.0,3.4,4.0,1.6,2.0,5
252,2048699,85.58,85.58,85.58,5.0,5.0,4.0,4.0,1.0,1.0,1
253,2050789,75.2257142857,86.94,526.58,5.0,,3.33333333333,,4.28571428571,1.0,7
254,2051699,154.1375,87.89,616.55,7.0,6.5,4.25,4.5,2.75,2.5,4
255,2079789,50.795,51.5,203.18,8.0,7.5,5.75,5.0,2.25,2.5,4
256,2090789,61.3417391304,48.55,2821.72,6.53333333333,,3.33333333333,,3.17391304348,2.0,46
257,2097699,76.76,76.76,76.76,4.0,4.0,3.0,3.0,1.0,1.0,1
258,2102699,67.6684210526,57.69,14142.7,6.78787878788,,3.60101010101,,3.23444976077,2.0,209
259,2113699,51.61,51.61,51.61,8.0,8.0,7.0,7.0,1.0,1.0,1
260,2124789,42.4133333333,43.87,127.24,9.0,10.0,3.33333333333,3.0,5.66666666667,5.0,3
261,2126789,114.358333333,109.38,686.15,8.83333333333,6.0,4.5,4.5,4.33333333333,2.0,6
262,2129789,35.43,35.43,70.86,4.0,4.0,3.0,3.0,1.0,1.0,2
263,2136699,70.81,66.25,637.29,7.77777777778,7.0,6.0,6.0,1.77777777778,2.0,9
264,2168699,60.9225,65.7,243.69,13.0,6.5,2.75,2.0,10.25,3.0,4
265,2177699,54.3178947368,45.12,1032.04,7.42105263158,4.0,2.78947368421,3.0,4.63157894737,2.0,19
266,2197699,64.1347368421,58.22,1218.56,4.68421052632,5.0,3.0,3.0,1.68421052632,2.0,19
267,2197789,165.9,165.9,165.9,5.0,5.0,4.0,4.0,1.0,1.0,1
268,2221699,58.3494,43.66,2917.47,8.0,,4.47916666667,,3.44,2.0,50
269,2235699,299.95,299.95,299.95,5.0,5.0,3.0,3.0,2.0,2.0,1
270,2242699,42.605,42.605,85.21,6.0,6.0,2.0,2.0,4.0,4.0,2
